category_id INT,category_name VARCHAR(255),parent_category_id INT,category_image TEXT
1,Electronics,NULL,NULL	
2,Toys,NULL,NULL
3,Smartphones,1,category-images/smartphones.png
4,Laptops,1,category-images//laptops.png
5,lego,2,category-images//legos.png
6,Board Games,2,category-images//boardgames.png
7,toy cars,2,category-images//cars.png
8,Tablets,1,category-images//tablets.png
9,Televisions,1,category-images//televisions.png
10,Barbie,2,category-images//barbies.png
11,Headphones,1,category-images/headphones.png
12,Digital Cameras,1,category-images/cameras.png
13,Remote Control Helicopter,2,category-images/helicopters.png
14,Puzzle Sets,2,category-images/puzzles.png
