category_id INT,category_name VARCHAR(255),parent_category_id INT,category_image TEXT
1,Electronics,NULL,NULL	
2,Toys,NULL,NULL
3,Smartphones,1,subcategory-images/smartphones.png
4,Laptops,1,subcategory-images//laptops.png
5,lego,2,subcategory-images//legos.png
6,Board Games,2,subcategory-images//boardgames.png
7,toy cars,2,subcategory-images//cars.png
8,Tablets,1,subcategory-images//tablets.png
9,Televisions,1,subcategory-images//televisions.png
10,Barbie,2,subcategory-images//barbies.png
11,Headphones,1,subcategory-images/headphones.png
12,Digital Cameras,1,subcategory-images/cameras.png
13,Remote Control Helicopter,2,subcategory-images/helicopters.png
14,Puzzle Sets,2,subcategory-images/puzzles.png
